"postXtreated","postXadopted","postXadoptedXfee_2.75","postXtreatedXfee_2.75","organization_uuid","timestamp_month","log_valid_volume","log_valid_volume_w5","log_nr_payments","log_nr_payments_w5","make_sale","treated","adopted","fee_2.75","treatedXfee_2.75","adoptedXfee_2.75","start_date"
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2021-01-01,9.28033274379622,9.28033274379622,3.2188758248682,3.2188758248682,1,1,1,0,0,0,2020-05-01
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2021-02-01,9.85571437106444,9.85571437106444,3.49650756146648,3.49650756146648,1,1,1,0,0,0,2020-05-01
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2021-03-01,10.258746494417,10.258746494417,3.98898404656427,3.98898404656427,1,1,1,0,0,0,2020-05-01
0,0,0,0,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-05-01,0,0,0,0,0,1,0,1,1,0,2020-05-01
0,0,0,0,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-06-01,1.87946504964716,1.87946504964716,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-05-01
0,0,0,0,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-07-01,7.99497963727923,7.99497963727923,2.07944154167984,2.07944154167984,1,1,0,1,1,0,2020-05-01
0,0,0,0,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-08-01,7.78364059622125,7.78364059622125,1.09861228866811,1.09861228866811,1,1,0,1,1,0,2020-05-01
0,0,0,0,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-09-01,8.38958706681109,8.38958706681109,1.09861228866811,1.09861228866811,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-10-01,7.09090982207998,7.09090982207998,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-11-01,0,0,0,0,0,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2020-12-01,7.78364059622125,7.78364059622125,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2021-01-01,6.21660610108486,6.21660610108486,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2021-02-01,7.86365126544865,7.86365126544865,1.09861228866811,1.09861228866811,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00d647ce-a1df-11ea-98fb-e2453b10c4d0",2021-03-01,6.86745398220861,6.86745398220861,0.693147180559945,0.693147180559945,1,1,0,1,1,0,2020-05-01
